id,fbus_intern,tbus_intern,fbus_extern,tbus_extern,rating
1,2,4,29,37,0
2,3,40,35,73,0
3,4,5,37,38,0
4,4,6,37,39,0
5,4,7,37,40,0
6,4,10,37,43,0
7,5,36,38,69,0
8,5,44,38,77,0
9,6,40,39,73,0
10,6,40,39,73,0
11,7,8,40,41,0
12,7,11,40,44,0
13,8,9,41,42,0
14,8,12,41,45,0
15,10,5,43,38,0
16,10,11,43,44,0
17,10,17,43,50,0
18,11,12,44,45,0
19,11,15,44,48,0
20,12,13,45,46,0
21,12,18,45,51,0
22,12,38,45,71,0
23,13,14,46,47,0
24,13,16,46,49,0
25,14,15,47,48,0
26,15,50,48,100,0
27,16,15,49,48,0
28,17,18,50,51,0
29,17,19,50,52,0
30,18,20,51,53,0
31,18,39,51,72,0
32,19,20,52,53,0
33,20,22,53,55,0
34,20,32,53,65,0
35,21,19,54,52,0
36,21,22,54,55,0
37,21,23,54,56,0
38,21,29,54,62,0
39,21,51,54,102,0
40,21,52,54,103,0
41,22,24,55,57,0
42,22,26,55,59,0
43,23,24,56,57,0
44,23,25,56,58,0
45,24,26,57,59,0
46,25,26,58,59,0
47,25,27,58,60,0
48,25,29,58,62,0
49,26,28,59,61,0
50,27,28,60,61,0
51,29,30,62,63,0
52,30,31,63,64,0
53,30,34,63,67,0
54,31,32,64,65,0
55,31,35,64,68,0
56,33,34,66,67,0
57,33,36,66,69,0
58,33,56,66,134,315
59,34,35,67,68,0
60,34,37,67,70,0
61,34,57,67,138,660
62,35,38,68,71,0
63,36,38,69,71,0
64,37,38,70,71,0
65,38,39,71,72,0
66,40,41,73,74,0
67,41,44,74,77,0
68,41,45,74,78,0
69,42,43,75,76,0
70,42,53,75,124,2000
71,43,44,76,77,0
72,45,46,78,79,0
73,45,47,78,80,0
74,45,48,78,81,0
75,45,49,78,82,0
76,53,54,124,125,0
77,55,56,132,134,0
78,55,57,132,138,0
79,1,3,21,35,99999
80,1,2,21,29,99999
81,2,3,29,35,99999
82,50,51,100,102,99999
83,50,52,100,103,99999
84,51,52,102,103,99999
85,53,57,124,138,99999
86,53,56,124,134,99999
87,53,55,124,132,99999
88,53,54,124,125,99999
89,54,57,125,138,99999
90,54,56,125,134,99999
91,54,55,125,132,99999
92,55,57,132,138,99999
93,55,56,132,134,99999
94,56,57,134,138,99999
