id,bus_intern,bus_extern,max_gen,min_gen,type
1,20,53,581.7,0,Nuclear
2,17,50,629.0,0,Nuclear
3,17,50,1299.0,0,Nuclear
4,22,55,2460.0,0,Hydro
5,15,48,1070.0,0,Hydro
6,1,21,5251.35681650463,0,Import
7,2,29,5105.93462773988,0,Import
8,2,29,2235.05825120924,0,Import
9,2,29,1828.68402371665,0,Import
10,2,29,5655.30734085114,0,Import
11,2,29,4524.24587268091,0,Import
12,2,29,6463.20838954416,0,Import
13,2,29,4362.66566294231,0,Import
14,3,35,4475.77180975933,0,Import
15,52,103,13745.8486235851,0,Import
16,52,103,7747.66013329341,0,Import
17,52,103,3748.86780643229,0,Import
18,52,103,4998.49040857639,0,Import
19,50,100,4873.52814836198,0,Import
20,52,103,9996.98081715279,0,Import
21,55,132,4476.99939655273,0,Import
22,55,132,4476.99939655273,0,Import
23,55,132,5697.9992319762,0,Import
24,55,132,1180.29984090936,0,Import
25,55,132,1261.69982993759,0,Import
26,55,132,5331.69928134916,0,Import
27,55,132,3988.59946238334,0,Import
28,55,132,13837.9981347993,0,Import
29,56,134,7163.19903448437,0,Import
30,55,132,18966.1974435779,0,Import
31,56,134,569.79992319762,0,Import
32,55,132,936.099873824662,0,Import
33,15,48,1500.0,-1100,HQ
34,22,55,0.0,0,Wind
35,23,56,0.0,0,Wind
36,24,57,0.0,0,Wind
37,27,60,0.0,0,Wind
38,29,62,0.0,0,Wind
39,18,51,0.0,0,Wind
40,32,65,0.0,0,Wind
41,38,71,0.0,0,Wind
42,15,48,0.0,0,Wind
43,12,45,0.0,0,Wind
44,14,47,0.0,0,Wind
45,9,42,0.0,0,Wind
46,6,39,0.0,0,Wind
47,44,77,0.0,0,Wind
48,41,74,0.0,0,Wind
49,49,82,0.0,0,Wind
50,46,79,0.0,0,Wind
51,47,80,0.0,0,Wind
52,47,80,0.0,0,Wind
53,46,79,0.0,0,Wind
54,22,55,0.0,0,SolarUPV
55,23,56,0.0,0,SolarUPV
56,24,57,0.0,0,SolarUPV
57,27,60,0.0,0,SolarUPV
58,29,62,0.0,0,SolarUPV
59,18,51,0.0,0,SolarUPV
60,32,65,0.0,0,SolarUPV
61,38,71,0.0,0,SolarUPV
62,12,45,0.0,0,SolarUPV
63,9,42,0.0,0,SolarUPV
64,6,39,0.0,0,SolarUPV
65,44,77,0.0,0,SolarUPV
66,46,79,0.0,0,SolarUPV
67,47,80,0.0,0,SolarUPV
68,1,21,530.0,-530,fDummy
69,53,124,660.0,-660,fDummy
70,54,125,660.0,-660,fDummy
71,54,125,660.0,-660,fDummy
72,47,80,530.0,-530,tDummy
73,46,79,660.0,-660,tDummy
74,48,81,660.0,-660,tDummy
75,48,81,660.0,-660,tDummy
76,15,48,1250.0,-1250,HQDummy
77,36,69,1300.0,-1300,fDummy
78,48,81,1300.0,-1300,tDummy
79,15,48,1250.0,-1250,fDummy
80,48,81,1250.0,-1250,tDummy
