bus_intern,bus_extern,capacity,duration,storage_cap,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
22,55,297,8,2176.4159999999997,0.915,-0.650346215967931,-0.6686678895005764,-0.6051603341081243,0.015,-0.6441954529168465,-0.7860368141748787,-0.6360591696324105
23,56,818,8,5994.303999999999,1.0,-0.5247486529421612,-0.5170791144423843,-0.47123774550502917,0.11,-0.5252479507743301,-0.6038306145465696,-0.5042822360150309
24,57,818,8,5994.303999999999,0.55,-0.8045463769443563,-0.872412881369801,-0.7401839404035866,0.225,-0.8047309982140051,-1.010380403334619,-0.7292901841423624
27,60,545,8,3993.7599999999998,0.95,-0.8755587196335082,-0.8988606308007104,-0.7561280428424488,0.97,-0.8672201468981635,-0.8768799428384196,-0.6810355088187634
29,62,10,8,73.28,1.0,-0.6366356869409354,-0.40839639464727057,-0.3431590419540396,0.945,-0.6480749227933563,-0.6600760300731571,-0.5227762603943056
18,51,837,8,6133.535999999999,1.0,-0.6485693933924429,-0.36667515174847315,-0.3118654357991155,0.985,-0.6495554489555989,-0.6807752250941813,-0.4497319597278372
32,65,1269,8,9299.232,1.0,-0.6094524077371716,-0.3775145090923846,-0.316481980318821,0.97,-0.6018046432538505,-0.6260274347959082,-0.4507628425884017
38,71,431,8,3158.368,1.0,-0.5946992092302987,-0.36028962118107866,-0.31809263274116306,0.935,-0.5925143922557842,-0.6294859676025202,-0.4327849097460505
15,48,2562,8,18774.336,1.0,-0.6133044154232832,-0.5896708758294017,-0.5211188281367836,0.02,-0.6016982061777895,-0.77310639418186,-0.5932806477518622
5,38,294,8,2154.432,1.0,-0.5422905702043962,-0.40101912773457427,-0.3523970464687652,0.755,-0.5460867261128186,-0.5941342691620485,-0.4753753853552166
12,45,597,8,4374.816,1.0,-0.6421478131847154,-0.4604198805484648,-0.4002122220791601,0.42,-0.6310357445241742,-0.7311545662036287,-0.5603484215503591
4,37,1961,8,14370.207999999999,0.985,-0.6147715436525777,-0.6253054327022848,-0.5471473309910323,0.005,-0.6141731865777387,-0.7723572759952595,-0.6138074824239128
9,42,2765,8,20261.92,1.0,-0.5691990043832741,-0.48145872426418784,-0.425882944657081,0.015,-0.5652042744238156,-0.7540664254010738,-0.5321458487294849
6,39,45,8,329.76,1.0,-0.5921966416648261,-0.5161391440994445,-0.448176513641694,0.16,-0.5965300531509553,-0.672357968063906,-0.5592156678349427
44,77,105,8,769.4399999999999,1.0,-0.3764000752475936,-0.31487087014665144,-0.2765839256826507,0.71,-0.3756859474198451,-0.39999072608351954,-0.3380325758687753
41,74,140,8,1025.9199999999998,1.0,-0.48143197852917735,-0.3643587543257051,-0.30826051983737635,0.775,-0.4767247611459602,-0.5122235932290926,-0.41983650699140773
45,78,140,8,1025.9199999999998,1.0,-0.4742587849763195,-0.34800889958764375,-0.3052720594673153,0.9,-0.47587491394503134,-0.5027670524015395,-0.40534067625924686
48,81,1449,8,10618.271999999999,1.0,-0.47618134513092986,-0.38208342150158797,-0.33628531602662265,0.635,-0.47767082407963285,-0.5364978430864138,-0.43862260670355996
49,82,2813,8,20613.663999999997,1.0,-0.4825317491080955,-0.3867852808674625,-0.3359866431079309,0.305,-0.4821514489649497,-0.5618122303505448,-0.44800854195437984
46,79,1202,8,8808.256,1.0,-0.4107295425335421,-0.3516549875572419,-0.3124583575160927,0.59,-0.4149826028613152,-0.45000137704982907,-0.3768833372510712
47,80,721,8,5283.487999999999,1.0,-0.4103558634096265,-0.3473782891312866,-0.3040815097171868,0.495,-0.41305887137041486,-0.45707741874170443,-0.37892068508274684
5,38,1170,12,12860.64,1.0,-0.5815347401603361,-0.4130424493564038,-0.35475384143399036,0.88,-0.5858954781063611,-0.6327150026830731,-0.4671432294084276
