id,bus_intern,bus_extern,type,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
34,22,55,Wind,0.795,0.046364824462686194,0.036758816713892806,0.06767946377338685,0.065,0.046364824462686194,0.01443088855936292,0.06543944722305062
35,23,56,Wind,0.44,0.038510713040532885,0.02601988397840138,0.05620626263524642,0.09,0.038510713040532885,0.01201463274055925,0.10217516289304474
36,24,57,Wind,0.505,0.03420492199511482,0.02098601508480602,0.05068886739215239,0.2,0.03420492199511482,0.009721143391523412,0.13861160910747738
37,27,60,Wind,0.12,0.10672135002451255,0.06149315699197744,0.12552006816846561,0.015,0.10672135002451255,0.009378827506635767,0.1536921217602043
38,29,62,Wind,0.75,0.038199107282873124,0.023742162687877988,0.06168644030553305,0.08,0.038199107282873124,0.009780998307147959,0.09515354078018246
39,18,51,Wind,0.29,0.018594236466918046,0.009208828386970902,0.02567968913393215,0.575,0.018594236466918046,0.007870952857240043,0.05170666780588573
40,32,65,Wind,0.0,0.0786652962509844,0.042783728673852606,0.07815475467832234,0.0,0.0786652962509844,0.008969011148776351,0.07331313368367165
41,38,71,Wind,1.0,0.00029161055552484605,0.00029161055552484605,0.00029161055552484605,0.975,0.00029161055552484605,-2.220446049250313e-16,0.005492131393523225
42,15,48,Wind,0.71,0.03033189616046017,0.01892931437627987,0.047707641509450616,0.395,0.03033189616046017,0.01359753760684801,0.06295501643629753
43,12,45,Wind,0.005,0.031279912737068205,0.015110190028476023,0.034335634271375426,0.29,0.031279912737068205,0.013522110624938133,0.0712369290297663
44,14,47,Wind,0.34,0.04101504118109567,0.026478089900207724,0.058773810301670615,0.025,0.04101504118109567,0.008806913036260688,0.053738348837040206
45,9,42,Wind,0.69,0.03815095112516831,0.028649194299622316,0.05502995879680617,0.16,0.03815095112516831,0.01286677969702188,0.05473409121343886
46,6,39,Wind,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
47,44,77,Wind,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
48,41,74,Wind,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
49,49,82,Wind,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
50,46,79,Wind,0.0,0.024590705610405328,0.0071801037287022584,0.02432145894075055,0.01,0.024590705610405328,0.005783674530277283,0.025974634942029118
51,47,80,Wind,0.015,0.017442271355669225,0.005038430509922032,0.018224107516661592,0.07,0.017442271355669225,0.004235412546309325,0.02618269041612531
52,47,80,Wind,0.365,0.012141542091044455,0.005582049581456472,0.017224148864519728,0.84,0.012141542091044455,0.004448109997007732,0.02799084693479048
53,46,79,Wind,0.135,0.015792218877856756,0.007183716723066391,0.020663103794266613,0.585,0.015792218877856756,0.006471283647812909,0.027444977282313987
54,22,55,SolarUPV,0.08,0.058085679179607386,0.04061678213401532,0.06428708024414931,0.035,0.058085679179607386,0.018701281702580896,0.07244988570453526
55,23,56,SolarUPV,0.345,0.0433611448226332,0.025038636957672944,0.05811918013149131,0.175,0.0433611448226332,0.01846371454689888,0.1596588486669701
56,24,57,SolarUPV,0.03,0.08442553670845343,0.04556531871894909,0.08956321794983091,0.0,0.08442553670845343,0.009875204076391642,0.07863961781173745
57,27,60,SolarUPV,0.03,0.0743513046013844,0.036191278902715895,0.08362688975889143,0.01,0.0743513046013844,0.009206129275759922,0.10763386792476415
58,29,62,SolarUPV,0.025,0.03117371206331554,0.010594743374449545,0.0372903895635075,0.155,0.03117371206331554,0.010191498724729131,0.09777326972246869
59,18,51,SolarUPV,0.325,0.024456297404151783,0.012432603125659636,0.03221738683949882,0.64,0.024456297404151783,0.014502768787942433,0.05840474424359954
60,32,65,SolarUPV,0.6,0.027956329133788982,0.019258034202313867,0.04711963407532349,0.305,0.027956329133788982,0.011768014101418478,0.07542570730980525
61,38,71,SolarUPV,1.0,0.00015164628226793653,0.00015164628226793653,0.00015164628226793653,0.96,0.00015164628226793653,0.0,0.003193178138084285
62,12,45,SolarUPV,0.75,0.04072246788793343,0.029118537164996905,0.06360168923525489,0.135,0.04072246788793343,0.016554284619320736,0.11786978700569328
63,9,42,SolarUPV,0.8,0.04499080783515241,0.03822253247822305,0.06769196120548271,0.19,0.04499080783515241,0.021840205828472126,0.07342120169001154
64,6,39,SolarUPV,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
65,44,77,SolarUPV,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,1.0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
66,46,79,SolarUPV,0.05,0.015877108055726508,0.006027056758820537,0.017919165039496976,0.095,0.015877108055726508,0.0025436583822291414,0.03010039378617857
67,47,80,SolarUPV,0.33,0.008828431054930475,0.004314068429243756,0.012909283559116025,0.56,0.008828431054930475,0.003626790252794665,0.018432921597555607
