id,wls_pvalue,wls_est,wls_min,wls_max,block_pvalue,block_est,block_min,block_max
1,0.995,-0.3040772498982194,-0.31192769418504446,-0.2750744123533074,0.625,-0.3044294682596804,-0.32087449193444906,-0.27406807216603996
2,0.985,-0.3279512348153749,-0.33044788442412015,-0.2951512516513546,0.215,-0.329223672842493,-0.36122192490862665,-0.30257679660036196
3,0.79,-0.31493079981759253,-0.3292051386520335,-0.2910779070269227,0.01,-0.3156407021615744,-0.38179098798871297,-0.3102292999259648
4,1.0,-0.30246270436394845,-0.27160966502639244,-0.23959994937264192,0.385,-0.2985627819542037,-0.3296146649529867,-0.28051526860336223
5,1.0,-0.3242020778434792,-0.31538785473746195,-0.28765421564135213,0.535,-0.32413773252980416,-0.34205090440292224,-0.30306546683167873
6,0.285,-0.4014375664081061,-0.4260570701157766,-0.38985351837388077,0.06,-0.40759590330041434,-0.4714777261860342,-0.3851702482622575
7,0.43,-0.36039363626252585,-0.3785720401939077,-0.3446613340534595,0.015,-0.36039363626252585,-0.40470188636902393,-0.3530143906600132
8,0.01,-0.32790142569772324,-0.35607128794107207,-0.325954782040785,0.02,-0.32790142569772324,-0.3722385576439813,-0.32620797300583076
9,0.075,-0.3380412380785892,-0.3638979888873332,-0.3325932769024122,0.025,-0.3380412380785892,-0.37940492146319066,-0.3326622691609954
10,0.84,-0.2924511474244288,-0.30328377386470395,-0.2751760268021222,0.145,-0.29009226028979,-0.31575153688386637,-0.2814644029072951
11,0.695,-0.26561836809626815,-0.2852290937087511,-0.24397536040108622,0.005,-0.26489252645296824,-0.32357560188849555,-0.2411470267101249
12,0.945,-0.31870665112650093,-0.3286136101925219,-0.29499304816035804,0.425,-0.31870105568834606,-0.34150599308596863,-0.2847596353510709
13,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
14,0.695,-0.2710322408630223,-0.29583479720532296,-0.23931536845710924,0.04,-0.27167871080031697,-0.32773959715584516,-0.2578997337294518
15,0.23,-0.3425375546082028,-0.36279988533968577,-0.33541429720161986,0.0,-0.3425375546082028,-0.3842909381595342,-0.3458502600895522
