id,scenario,bus_44_pvalue,bus_44_est,bus_44_min,bus_44_max
1,1,0.0,-0.10433828560143724,-0.13459457416837967,-0.11019082951882418
2,1,0.0,-0.11810211938063932,-0.1586944797423505,-0.12364602858336105
3,1,0.005,-0.11481941129935794,-0.14189580989783449,-0.113752870487605
4,1,1.0,-0.14595212942130137,-0.1437524880453199,-0.1093840983863528
5,1,1.0,-0.14319359907714896,-0.13175020288031983,-0.11174690665709777
6,1,0.155,0.0016366068376525433,0.0009670744667449327,0.005753618074098021
7,1,0.13,-0.11813877130416826,-0.13078655851205276,-0.11317601853820439
8,1,0.03,-0.11426538138447587,-0.13786259260963518,-0.11029302336927697
9,1,0.135,-0.13799333359898444,-0.15262828212802493,-0.13296971937799934
10,1,0.5,-0.12442829510921456,-0.1358196708983412,-0.11230721243790198
11,1,0.535,-0.12226810152317177,-0.13626412785574327,-0.10834448526381403
12,1,1.0,-0.14026330075458407,-0.13226323646176427,-0.10872240001045383
13,1,1.0,0.04022520760388182,0.054236740642044756,0.10258719726390253
14,1,1.0,-0.1503268511974254,-0.1390174817309862,-0.1028272527068449
15,1,0.0,-0.10956118849998453,-0.1462557176301762,-0.12041579196839722
1,2,0.0,-0.10023431731675138,-0.14203830115041588,-0.10723860287025941
2,2,0.0,-0.12164495980666598,-0.18749736186350469,-0.1467946748047735
3,2,0.835,-0.1399934876156969,-0.14915400600417442,-0.12207576889237928
4,2,1.0,-0.18185478747251077,-0.14428464469351707,-0.10663552883953145
5,2,1.0,-0.15061514750729108,-0.14865125940945434,-0.12193032240939294
6,2,0.41,0.001562205529863414,0.0010970954610500794,0.0018906573050585518
7,2,0.975,-0.18416969818533802,-0.18868057726070148,-0.15708104001301879
8,2,0.895,-0.14917883823870734,-0.1542878703393608,-0.1311204605723534
9,2,0.905,-0.13742154440205148,-0.14343217743030706,-0.11955229021662739
10,2,0.525,-0.12950642420787942,-0.14104048919276346,-0.11350339055443202
11,2,0.075,-0.11765325335812937,-0.15196325490918428,-0.11063726610108342
12,2,1.0,-0.14864489246293805,-0.14385529363321095,-0.12433777618230966
13,2,0.98,0.01450032131365564,0.013745199326451463,0.033308451603199174
14,2,1.0,-0.1577412708432728,-0.13557870913587594,-0.09636750496902488
15,2,0.0,-0.10479355232603803,-0.13528087197664937,-0.10688017137120226
1,3,0.11,-0.14420749320808934,-0.16139190485206845,-0.1370045988037772
2,3,0.0,-0.12522128621280015,-0.16045443927332192,-0.13200036167822235
3,3,0.005,-0.15502822899986965,-0.18481792246725193,-0.15217287268874172
4,3,0.995,-0.1546045009837528,-0.15538725119620203,-0.11996659249876414
5,3,1.0,-0.1506783010486245,-0.14190918330854768,-0.12072308147790146
6,3,0.45,0.004447791024922765,0.0015798712760966005,0.012578554671605513
7,3,0.66,-0.1328692867352215,-0.14163441822256648,-0.12371166155766784
8,3,0.09,-0.14457373382748012,-0.16156691260467973,-0.13756493848685672
9,3,0.18,-0.14659372930175754,-0.16233551403780072,-0.14069101199115872
10,3,0.0,-0.13934106384979944,-0.16383663346319624,-0.1394098624502547
11,3,0.14,-0.13897802868392017,-0.15775631021912967,-0.1297284810218837
12,3,1.0,-0.15269193105748666,-0.14458366406681944,-0.1273548683192622
13,3,1.0,0.10136745363341282,0.15631253199104167,0.27259627785118345
14,3,0.995,-0.1573959114817364,-0.15835932090207405,-0.12326380991971829
15,3,0.0,-0.13473636198516104,-0.1613174140010173,-0.13490988554855707
1,4,0.04,-0.128834201469756,-0.151224249490347,-0.11812482003399306
2,4,0.02,-0.13202084302294523,-0.16638299895110398,-0.12960019054965968
3,4,0.69,-0.13754967319288405,-0.14476915707707158,-0.126046398710364
4,4,1.0,-0.16552417006939943,-0.1532163527313969,-0.12196302580151491
5,4,1.0,-0.14262934059125393,-0.1349700152612864,-0.11635395106966269
6,4,0.815,0.010215741610311468,0.005763688885784823,0.02601515211709282
7,4,0.9,-0.1273908728265005,-0.1319917061861498,-0.11769089299230215
8,4,0.1,-0.12497365589126064,-0.14356273361306035,-0.12080419161938898
9,4,0.355,-0.1280021706690134,-0.13943279438434514,-0.12055463678258814
10,4,0.625,-0.12780802208372047,-0.14120972678923607,-0.11517628496216918
11,4,1.0,-0.15439816068782528,-0.15103769716314155,-0.12085116970030264
12,4,1.0,-0.1452174668864769,-0.13565239380001812,-0.12033951560938236
13,4,1.0,0.07326350096487433,0.11027331962317755,0.19397935124272658
14,4,1.0,-0.17149093436970958,-0.15300898045794542,-0.11957187448438715
15,4,0.96,-0.15841864579293294,-0.16711955147274293,-0.13551929539745783
1,5,0.06,-0.1324517414565101,-0.15998105166362495,-0.12350928372204527
2,5,0.03,-0.1317503849977772,-0.16549264915763717,-0.12768653745791766
3,5,0.47,-0.16788175327233076,-0.18650860787786716,-0.1561672575941355
4,5,1.0,-0.17757414402009022,-0.15342653315841767,-0.1266321507663096
5,5,1.0,-0.14610494449208652,-0.13987314296690115,-0.12024402520770565
6,5,0.72,0.009797386650275408,0.007255315195479062,0.017417575292886456
7,5,0.005,-0.14791939507539903,-0.17746506832459688,-0.1436087777733845
8,5,0.76,-0.15069211387379666,-0.16075123372721295,-0.1359545056711858
9,5,0.12,-0.14321572320651693,-0.16285827369600872,-0.13302453746423532
10,5,0.96,-0.1603506746852664,-0.16469884876453517,-0.14234782911862626
11,5,0.005,-0.13217529897753413,-0.16557024079191646,-0.13053141651193134
12,5,0.95,-0.16566698548865122,-0.17185107021104182,-0.14497051126132487
13,5,0.435,0.0006929659638408303,0.0005247316171144156,0.0064062920287004665
14,5,0.075,-0.15329096346647159,-0.18195689872156115,-0.1459182673737469
15,5,0.05,-0.14585289323207146,-0.16637292286357935,-0.13907735527064116
1,6,0.94,-0.1810404809272917,-0.18588039905367074,-0.16625178139443883
2,6,0.995,-0.19259236030432741,-0.19645543383923167,-0.16480126653572047
3,6,0.66,-0.19516167796798148,-0.2118264503091383,-0.17704656763758897
4,6,1.0,-0.1998660626627694,-0.17047168193705992,-0.14403080082932251
5,6,1.0,-0.2045477671830537,-0.19404861822637917,-0.1705253769135446
6,6,1.0,0.006334948226348391,0.008199642383206474,0.023808622838062288
7,6,0.21,-0.17219595619007652,-0.19284932057930468,-0.16277350672751578
8,6,0.725,-0.17789016909157992,-0.18655987140299493,-0.1637270496758924
9,6,0.55,-0.1764405059432677,-0.1874051478989389,-0.16594873553965134
10,6,1.0,-0.19183779619452299,-0.18996060930624348,-0.1683482937893887
11,6,0.635,-0.16895574468577276,-0.1848668044872845,-0.14987500829883488
12,6,1.0,-0.17497960958402062,-0.17402663676446897,-0.15169125979208228
13,6,0.985,0.0003831222997803252,0.00037789955443789935,0.0036724708626008074
14,6,0.025,-0.17071347249230073,-0.1966993813423437,-0.16759577388890148
15,6,0.37,-0.18688018436202558,-0.2046913810843455,-0.17502600950017383
1,7,0.0,-0.13653391951644503,-0.18866269214387768,-0.14830480192209056
2,7,0.0,-0.1322423579260776,-0.20222096644639545,-0.1612007189847919
3,7,0.06,-0.1245075543146233,-0.14997452127759803,-0.11658249449929779
4,7,1.0,-0.1899341069988542,-0.16158553055738092,-0.12437461637227018
5,7,1.0,-0.1469867037081846,-0.13761964240737806,-0.11352804536202295
6,7,0.91,0.009149121064637278,0.008064517939106786,0.016119861011465453
7,7,0.14,-0.13953697248721322,-0.156814005202242,-0.13105766002561253
8,7,0.19,-0.1319936920028046,-0.1479231994468121,-0.12357642638649675
9,7,0.06,-0.14696192961942448,-0.17221850064381644,-0.1397149513503581
10,7,0.82,-0.14099107735433203,-0.15145736459583023,-0.12566168365620173
11,7,0.0,-0.1029035793830953,-0.14962715138773502,-0.1144923479568988
12,7,0.975,-0.14799213524979526,-0.15358882262288936,-0.12125525394644938
13,7,1.0,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
14,7,0.9,-0.13607126372151618,-0.1445665470671698,-0.11490839098722595
15,7,0.065,-0.12560455267943876,-0.14624104788117967,-0.11828079791895015
1,8,0.0,-0.15609174704229883,-0.19201983551909108,-0.15999851682397234
2,8,0.0,-0.1752476377447829,-0.22056730066151203,-0.1795619267037371
3,8,0.29,-0.19116749019839455,-0.2101954124811457,-0.17740235916377567
4,8,1.0,-0.18722550779320118,-0.16234066591004284,-0.12786476506944136
5,8,1.0,-0.16593094553349108,-0.15390088697344764,-0.13172051060951398
6,8,0.995,0.004647950921796706,0.0044940324960869305,0.0173903669491704
